"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-242 0.547487716511611 2 55 "GO:0001541" "ovarian follicle development" 0.782265130586646
-367 0.727049806728456 2 8 "GO:0001542" "ovulation from ovarian follicle" 0.879779800193366
955 0.432076226836755 2 6 "GO:0001547" "antral ovarian follicle growth" 0.70650975009879
578 0.607747986304995 2 7 "GO:0001553" "luteinization" 0.821031190457245
-1094 0.330984476773087 3 7 "GO:0001554" "luteolysis" 0.621766185297209
-1228 0.215830422657803 2 9 "GO:0001555" "oocyte growth" 0.512827841870677
-1060 0.015898185335525 3 46 "GO:0001556" "oocyte maturation" 0.118753501209517
-32 0.830822248951357 4 412 "GO:0001558" "regulation of cell growth" 0.930730247535912
1849 0.0623584755469285 2 9 "GO:0001561" "fatty acid alpha-oxidation" 0.266152147819222
-27 0.974715745051694 2 12 "GO:0001562;GO:0042832" "response to protozoan" 0.98945989739347
-486 0.000919021859016984 2 429 "GO:0001568;GO:0001944;GO:0048514" "vasculature development" 0.0179153224590079
-174 0.741870120127742 2 32 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.887990600213967
-902 0.00894226522787825 3 75 "GO:0001570" "vasculogenesis" 0.0813326370797348
219 0.452802553973158 3 105 "GO:0001578;GO:0035082" "microtubule bundle formation" 0.721280401122166
-1320 0.0109454441511447 5 33 "GO:0001580;GO:0050912;GO:0010378;GO:0050913;GO:0050968;GO:0071313;GO:0071415" "cellular response to purine-containing compound" 0.0934381440619749
-814 0.0332287951007142 3 61 "GO:0001649" "osteoblast differentiation" 0.18460509190137
-251 0.0189517412222306 3 843 "GO:0001654;GO:0007423" "sensory organ development" 0.131487198407524
-436 0.00214947550715736 2 460 "GO:0001655" "urogenital system development" 0.0316666842857088
-529 0.169962568314735 5 60 "GO:0001656" "metanephros development" 0.456421949518864
-610 0.0478363785691331 5 94 "GO:0001657;GO:0072164;GO:0072163;GO:0001823" "mesonephric tubule development" 0.228258063112714
-364 0.41763676871863 2 44 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.695849594426949
-822 0.205973406647921 2 21 "GO:0001659" "temperature homeostasis" 0.501139254987369
232 0.825529551033007 2 8 "GO:0001661" "conditioned taste aversion" 0.927995068443222
-776 0.128759723406557 3 34 "GO:0001662;GO:0002209;GO:0042596" "fear response" 0.395052625461385
179 0.274026750927835 2 342 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.571097472435651
-599 6.20171488313409e-05 4 413 "GO:0001667" "ameboidal-type cell migration" 0.00267930844342969
-627 0.48499726151599 4 11 "GO:0001675" "acrosome assembly" 0.744019311452313
240 0.403683931838846 3 108 "GO:0001676" "long-chain fatty acid metabolic process" 0.685019920429294
-338 0.296758793978155 2 85 "GO:0001678;GO:0071326;GO:0071331;GO:0071333" "intracellular glucose homeostasis" 0.591661537834175
911 0.252527669386154 2 14 "GO:0001682;GO:0099116" "tRNA 5'-end processing" 0.551842182770067
-539 0.685422114666405 5 5 "GO:0001696" "gastric acid secretion" 0.859064245622863
-126 0.577255058906169 2 175 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.803607412725026
-473 0.00311455087901492 2 359 "GO:0001701" "in utero embryonic development" 0.0410971767140531
-614 0.176594669947629 5 43 "GO:0001702" "gastrulation with mouth forming second" 0.465435416176892
47 0.901713849848513 5 61 "GO:0001703;GO:0010004" "gastrulation with mouth forming first" 0.961493934296621
-463 0.0592339303018693 2 149 "GO:0001704" "formation of primary germ layer" 0.258350443622205
-89 0.941522807683028 4 6 "GO:0001705" "ectoderm formation" 0.975391185457345
-919 0.0117217329295316 2 67 "GO:0001706;GO:0035987" "endoderm formation" 0.0975438052404752
-446 0.114542830827083 3 112 "GO:0001707;GO:0048332" "mesoderm morphogenesis" 0.371070440072593
-463 0.0496369574576151 2 162 "GO:0001708" "cell fate specification" 0.232357584154424
-546 0.0114021423109665 2 194 "GO:0001709" "cell fate determination" 0.0958019683788696
-684 0.162745095623715 2 37 "GO:0001711" "endodermal cell fate commitment" 0.445840677556998
298 0.729037667542852 2 12 "GO:0001714" "endodermal cell fate specification" 0.881684669239455
2475 0.00272333051298832 3 13 "GO:0001731" "formation of translation preinitiation complex" 0.0371278791045785
85 0.890826704461269 4 23 "GO:0001737" "establishment of imaginal disc-derived wing hair orientation" 0.95775143395886
13 0.961107903178144 2 133 "GO:0001738;GO:0001736;GO:0007164" "morphogenesis of a polarized epithelium" 0.982838099922192
-174 0.877053774151635 3 7 "GO:0001743" "lens placode formation" 0.9519405588059
-227 0.187182778773909 2 307 "GO:0001745;GO:0048749" "compound eye development" 0.476451706799512
29 0.974320793244722 6 11 "GO:0001746;GO:0055034" "Bolwig's organ development" 0.989387418958892
95 0.71081760020993 2 137 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.873316478786832
-170 0.718055818963695 5 40 "GO:0001752;GO:0042706;GO:0046552" "photoreceptor cell fate commitment" 0.876630173524215
-266 0.17764211053349 2 232 "GO:0001754;GO:0046530" "photoreceptor cell differentiation" 0.466633493895852
-857 0.0129444291832074 6 75 "GO:0001755;GO:0090497" "mesenchymal cell migration" 0.104240151382151
873 0.378886002460724 2 9 "GO:0001757" "somite specification" 0.664635692656754
-805 0.0960122968638467 3 38 "GO:0001759;GO:0003347;GO:1904847;GO:2000544" "organ induction" 0.338052106909381
-607 0.000688345812902443 2 285 "GO:0001763;GO:0061138" "morphogenesis of a branching structure" 0.0147918115320777
-861 0.000226599937608883 4 165 "GO:0001764" "neuron migration" 0.00720835821428457
1919 0.0682311007815023 2 8 "GO:0001765" "membrane raft assembly" 0.277878763310144
-616 0.534855609848025 3 9 "GO:0001771" "immunological synapse formation" 0.776184014836194
-1327 0.058738093163296 2 18 "GO:0001773;GO:0043011;GO:0097028" "dendritic cell differentiation" 0.256888760387219
-1544 0.0855166835290961 3 11 "GO:0001774;GO:0002269;GO:1903980;GO:0150078" "positive regulation of microglial cell activation" 0.314249238209793
166 0.13794798872747 2 764 "GO:0001775;GO:0045321" "cell activation" 0.409691705037591
324 0.434168331573708 2 52 "GO:0001776;GO:0002260" "leukocyte homeostasis" 0.70655950931084
-1145 0.308736291395495 4 7 "GO:0001779" "natural killer cell differentiation" 0.602391101466372
401 0.509567536976881 2 24 "GO:0001782" "B cell homeostasis" 0.757891330874663
163 0.87695997343447 7 8 "GO:0001783" "B cell apoptotic process" 0.9519405588059
-244 0.785805078358537 8 11 "GO:0001796;GO:0002892;GO:0001798;GO:0002894;GO:0001969;GO:0001970;GO:0045917;GO:0006956;GO:0006957;GO:0006958;GO:0010760;GO:1905522;GO:2000259" "regulation of activation of membrane attack complex" 0.911545295904297
-374 0.19552176998597 2 107 "GO:0001816" "cytokine production" 0.48834617081652
-274 0.0728828159447552 5 393 "GO:0001817" "regulation of cytokine production" 0.289628791268344
-344 0.158246222098577 2 151 "GO:0001818" "negative regulation of cytokine production" 0.439960815395603
-195 0.30976261782737 2 247 "GO:0001819" "positive regulation of cytokine production" 0.602989914785474
652 0.53591680477925 2 8 "GO:0001820;GO:0006837" "serotonin transport" 0.776330620697388
-153 0.908738567515476 5 5 "GO:0001821" "histamine secretion" 0.964139521364319
-451 0.00407815962573413 2 372 "GO:0001822;GO:0072001" "renal system development" 0.0485581985976611
371 0.263972227074999 3 81 "GO:0001824" "blastocyst development" 0.562237981318302
64 0.897336609519497 2 36 "GO:0001825" "blastocyst formation" 0.959941489253415
-830 0.377925113051321 3 10 "GO:0001826" "inner cell mass cell differentiation" 0.663496203418492
-843 0.526549112498631 4 5 "GO:0001827" "inner cell mass cell fate commitment" 0.769016680063099
373 0.595035282198583 3 18 "GO:0001829" "trophectodermal cell differentiation" 0.81417838527236
-1301 0.284182665673524 4 6 "GO:0001831;GO:1901044" "trophectodermal cellular morphogenesis" 0.579498113747485
968 0.0975215389100893 2 26 "GO:0001832" "blastocyst growth" 0.340181516525429
1123 0.100375546561422 2 19 "GO:0001833" "inner cell mass cell proliferation" 0.344869019190614
711 0.558273961304596 4 6 "GO:0001835;GO:0035188" "blastocyst hatching" 0.79043483360974
1908 0.0103868440940634 2 16 "GO:0001836" "release of cytochrome c from mitochondria" 0.0899157926960342
