	SRR14729874.clean.fastq.gz.samSYM.counts	SRR14729875.clean.fastq.gz.samSYM.counts	SRR14729876.clean.fastq.gz.samSYM.counts	SRR14729877.clean.fastq.gz.samSYM.counts	SRR14729879.clean.fastq.gz.samSYM.counts	SRR14729880.clean.fastq.gz.samSYM.counts	SRR14729882.clean.fastq.gz.samSYM.counts	SRR14729883.clean.fastq.gz.samSYM.counts	SRR14729884.clean.fastq.gz.samSYM.counts	SRR14729885.clean.fastq.gz.samSYM.counts	SRR14729886.clean.fastq.gz.samSYM.counts	SRR14729887.clean.fastq.gz.samSYM.counts	SRR14729888.clean.fastq.gz.samSYM.counts	SRR14729891.clean.fastq.gz.samSYM.counts	SRR14729892.clean.fastq.gz.samSYM.counts	
evm.model.scaffold_10053.6	1	0	3	5	0	5	1	3	6	0	3	2	0	3	6	
evm.model.scaffold_10054.1	0	0	0	2	1	3	2	1	2	0	3	0	0	1	3	
evm.model.scaffold_10055.1	0	2	1	1	1	5	1	0	2	1	0	0	0	1	4	
evm.model.scaffold_10056.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_10056.2	1	0	1	2	0	2	0	3	2	0	0	0	0	0	6	
evm.model.scaffold_10056.5	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	
evm.model.scaffold_10056.6	0	0	1	0	0	2	0	0	0	2	0	1	0	0	3	
evm.model.scaffold_1006.1	6	1	8	6	2	8	1	1	3	1	0	1	2	5	10	
evm.model.scaffold_10060.1	48	39	59	98	61	164	64	21	62	11	53	45	32	30	85	
evm.model.scaffold_10060.2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	
evm.model.scaffold_10061.1	1	5	9	12	3	23	2	8	7	0	3	4	1	3	21	
evm.model.scaffold_10062.2	4	3	9	9	4	29	1	4	6	0	1	4	0	1	17	
evm.model.scaffold_10062.3	13	5	13	19	10	37	15	3	11	1	18	11	5	3	21	
evm.model.scaffold_10066.1	0	1	7	2	0	1	0	1	1	0	1	1	0	2	4	
evm.model.scaffold_10068.2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	
evm.model.scaffold_1007.1	2	0	6	11	2	24	2	4	5	1	1	12	2	1	11	
evm.model.scaffold_1007.3	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	
evm.model.scaffold_10073.1	1	2	4	4	1	7	5	2	1	1	0	1	1	2	6	
evm.model.scaffold_10075.2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	
evm.model.scaffold_10075.3	6	16	29	44	10	44	10	13	27	6	8	27	7	14	62	
evm.model.scaffold_10075.4	16	15	43	74	12	76	23	18	24	4	15	26	5	24	84	
evm.model.scaffold_10076.1	4	2	2	13	1	12	3	0	3	1	0	4	1	6	8	
evm.model.scaffold_10078.1	0	0	1	1	0	2	0	0	2	0	0	0	0	0	1	
evm.model.scaffold_10079.1	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	
evm.model.scaffold_1008.1	0	1	0	0	0	3	0	1	0	0	0	0	0	0	3	
evm.model.scaffold_1008.2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	
evm.model.scaffold_10081.1	19	12	25	51	22	62	38	13	16	8	16	22	23	14	47	
evm.model.scaffold_10084.1	14	19	32	44	13	82	37	6	41	3	21	24	18	22	79	
evm.model.scaffold_10084.2	0	0	1	3	0	6	0	1	2	0	0	2	0	0	2	
evm.model.scaffold_10086.1	4	2	5	2	0	11	1	2	1	1	1	2	1	0	7	
evm.model.scaffold_10086.2	1	0	2	4	4	7	0	0	3	0	1	0	2	0	6	
evm.model.scaffold_10086.4	1	0	5	3	6	12	4	2	2	0	1	2	1	0	8	
evm.model.scaffold_10087.1	2	2	2	5	0	2	1	1	2	2	0	3	0	3	1	
evm.model.scaffold_10087.2	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	
evm.model.scaffold_10087.3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_10087.4	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	
evm.model.scaffold_10089.1	2	5	4	6	1	5	0	2	2	1	0	1	0	2	3	
evm.model.scaffold_10089.3	12	12	45	55	25	74	13	17	16	7	12	17	8	11	74	
evm.model.scaffold_10089.5	0	0	0	1	0	1	2	0	1	0	0	0	2	0	6	
evm.model.scaffold_10093.1	0	0	1	4	1	1	0	3	2	1	2	1	0	1	5	
evm.model.scaffold_10093.3	1	2	1	3	1	3	3	0	2	0	0	1	1	2	5	
evm.model.scaffold_10094.1	2	0	5	6	0	12	1	2	6	0	1	2	1	1	8	
evm.model.scaffold_10095.1	4	2	13	22	4	9	3	4	6	1	2	8	0	1	12	
evm.model.scaffold_10096.1	3	2	6	5	2	10	1	2	1	0	1	2	2	1	2	
evm.model.scaffold_10096.2	4	2	4	5	4	8	1	4	8	1	3	1	0	1	6	
evm.model.scaffold_10098.1	1	3	2	7	3	4	5	0	0	0	0	3	1	1	4	
evm.model.scaffold_10098.2	2	0	4	1	1	3	0	1	0	0	1	1	0	0	4	
evm.model.scaffold_10098.3	0	1	1	5	1	0	3	0	3	1	0	0	0	0	3	
