"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
174 0.871093840150927 7 8 "GO:0001783" "B cell apoptotic process" 0.944781974321819
2367 0.0136346717911801 8 10 "GO:0001796;GO:0002892;GO:0001798;GO:0002894;GO:0001969;GO:0001970;GO:0045917;GO:0006956;GO:0006957;GO:0006958;GO:0010760;GO:1905522;GO:2000259" "negative regulation of macrophage chemotaxis" 0.0880218198028196
-716 0.0137553122364205 2 110 "GO:0001816" "cytokine production" 0.0886223279328417
-229 0.134090161775372 5 410 "GO:0001817" "regulation of cytokine production" 0.371046385559535
-407 0.0942761552118229 2 158 "GO:0001818" "negative regulation of cytokine production" 0.303067830875968
-280 0.142663635495451 2 258 "GO:0001819" "positive regulation of cytokine production" 0.382882705551781
850 0.427959717395858 2 8 "GO:0001820;GO:0006837" "serotonin transport" 0.680093488491635
-2187 0.0564974928605144 5 7 "GO:0001821;GO:0002349;GO:0002441;GO:0002553" "histamine secretion" 0.221875404948544
-390 0.0140500626961349 2 379 "GO:0001822;GO:0072001" "renal system development" 0.0898895835703865
907 0.00733199520080038 3 81 "GO:0001824" "blastocyst development" 0.0600120066371633
811 0.104608475193595 2 37 "GO:0001825" "blastocyst formation" 0.322727204479471
1880 0.0501064160279922 3 10 "GO:0001826" "inner cell mass cell differentiation" 0.20588550801625
2057 0.129554363073679 4 5 "GO:0001827" "inner cell mass cell fate commitment" 0.364947474909481
221 0.751075409095488 3 19 "GO:0001829" "trophectodermal cell differentiation" 0.889726952218155
1102 0.3364235672206 4 7 "GO:0001831;GO:1901044" "trophectodermal cellular morphogenesis" 0.604375708525921
1038 0.0874489258752419 2 25 "GO:0001832" "blastocyst growth" 0.291663075541282
1362 0.0570395598100128 2 18 "GO:0001833" "inner cell mass cell proliferation" 0.222912822960324
2243 0.0702027798815074 4 6 "GO:0001835;GO:0035188" "blastocyst hatching" 0.255281517601691
-114 0.87648963279998 2 17 "GO:0001836" "release of cytochrome c from mitochondria" 0.9469945837112
-1166 0.000164916668956432 2 97 "GO:0001837" "epithelial to mesenchymal transition" 0.00387644785601987
-350 0.12854269011396 2 176 "GO:0001838;GO:0001841" "embryonic epithelial tube formation" 0.363410517179544
-1653 0.0707540653811854 2 11 "GO:0001839" "neural plate morphogenesis" 0.255617085282155
-1319 0.0821906543122454 3 16 "GO:0001840" "neural plate development" 0.281439396329604
-2177 0.0173471464048106 2 11 "GO:0001842" "neural fold formation" 0.10401237983538
-161 0.565296516366433 4 119 "GO:0001843;GO:0060606;GO:0014020" "primary neural tube formation" 0.782322041196311
-1869 0.00479095706590716 3 21 "GO:0001845" "phagolysosome assembly" 0.0455460318398907
-1322 0.0459986429906385 2 21 "GO:0001878" "response to yeast" 0.194576988840427
726 0.427243417218189 4 11 "GO:0001881" "receptor recycling" 0.679796927421056
-249 0.525847573234539 5 60 "GO:0001885" "endothelial cell development" 0.754060426392927
338 0.738440064423807 2 9 "GO:0001886" "endothelial cell morphogenesis" 0.883309349597584
-880 0.442690212504787 2 7 "GO:0001887" "selenium compound metabolic process" 0.692253430974284
-256 0.228495774053638 2 207 "GO:0001889;GO:0061008" "hepaticobiliary system development" 0.494022029010174
-438 0.0892827620720468 2 140 "GO:0001890" "placenta development" 0.294867464856575
-406 0.221558518073197 2 84 "GO:0001892" "embryonic placenta development" 0.485612519659251
48 0.919904109860332 3 41 "GO:0001893" "maternal placenta development" 0.967233274287031
115 0.573361563539279 4 226 "GO:0001894" "tissue homeostasis" 0.786539587937004
1305 0.000139669874697815 2 79 "GO:0001895;GO:0045494" "retina homeostasis" 0.00343395243653593
-1404 0.0300297516538615 2 22 "GO:0001906" "cell killing" 0.149033964704431
-1334 0.099970522524569 3 14 "GO:0001909" "leukocyte mediated cytotoxicity" 0.313390739150053
394 0.463289490235921 2 32 "GO:0001910;GO:0001912" "regulation of leukocyte mediated cytotoxicity" 0.70733491764071
-1504 0.267580081891863 5 5 "GO:0001911;GO:0031342" "negative regulation of cell killing" 0.534743502180033
-2766 0.0158684127858818 3 7 "GO:0001913" "T cell mediated cytotoxicity" 0.0984257963093802
-479 0.503627884635833 4 18 "GO:0001919" "regulation of receptor recycling" 0.737680925749404
-1020 0.287638311761148 5 10 "GO:0001921" "positive regulation of receptor recycling" 0.556123846511385
2488 0.0300096983907596 3 7 "GO:0001922" "B-1 B cell homeostasis" 0.149033964704431
-1957 0.114023981233001 2 6 "GO:0001928;GO:0106020" "regulation of vesicle docking" 0.338746244246374
164 0.0969488855324758 2 1048 "GO:0001932" "regulation of protein phosphorylation" 0.307220246154023
512 0.000844737847248783 6 406 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 0.0129063875376082
-1173 0.148306574791102 2 14 "GO:0001935" "endothelial cell proliferation" 0.391316734430537
-1065 0.000130166612472494 6 120 "GO:0001936;GO:0001938" "regulation of endothelial cell proliferation" 0.00322591520858142
-520 0.3402714831605 4 31 "GO:0001937" "negative regulation of endothelial cell proliferation" 0.607342120485457
-3 0.995970798757915 3 37 "GO:0001941" "postsynaptic membrane organization" 0.998811545021985
-382 0.216596368783638 2 97 "GO:0001942;GO:0022405;GO:0042633;GO:0098773" "hair cycle" 0.48043515329575
476 0.406622070172249 3 28 "GO:0001945" "lymph vessel development" 0.665636179667174
445 0.611503633310545 2 12 "GO:0001946;GO:0036303" "lymph vessel morphogenesis" 0.810747689040035
576 0.0729978193448324 4 90 "GO:0001947" "heart looping" 0.260816818895206
-539 0.0754848352144584 2 101 "GO:0001952" "regulation of cell-matrix adhesion" 0.266313291314082
-112 0.872544047992504 2 19 "GO:0001953" "negative regulation of cell-matrix adhesion" 0.945378008578759
-819 0.0353973074256769 3 61 "GO:0001954" "positive regulation of cell-matrix adhesion" 0.166899729984043
-484 0.359830865359513 2 33 "GO:0001956" "positive regulation of neurotransmitter secretion" 0.624738815749999
-1086 0.0238685169728465 4 40 "GO:0001958;GO:0036075" "endochondral ossification" 0.127530618996466
486 0.063146769861863 5 136 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 0.23710522071596
398 0.340346309064314 3 53 "GO:0001960;GO:0060761" "negative regulation of response to cytokine stimulus" 0.607342120485457
261 0.470249500884117 3 71 "GO:0001961;GO:0060760" "positive regulation of response to cytokine stimulus" 0.712679959375706
-250 0.827307896722438 2 7 "GO:0001963" "synaptic transmission, dopaminergic" 0.924670504522566
-460 0.370323215409858 4 35 "GO:0001964" "startle response" 0.634543143734328
1417 0.0619180723949735 2 16 "GO:0001967" "suckling behavior" 0.233997803626941
-242 0.667753123283282 3 29 "GO:0001974" "blood vessel remodeling" 0.843130380973538
-218 0.725226967650214 2 24 "GO:0001975" "response to amphetamine" 0.875486333713137
-1116 0.0846088649127083 2 22 "GO:0001976" "nervous system process involved in regulation of systemic arterial blood pressure" 0.286660552346805
-3296 0.0021252026636313 3 8 "GO:0001977" "renal system process involved in regulation of blood volume" 0.0252544916528186
-547 0.633397427964291 5 7 "GO:0001978;GO:0001982;GO:0001988;GO:0060112;GO:0060409;GO:1905918;GO:1905920;GO:1905921;GO:1905923" "baroreceptor response to decreased systemic arterial blood pressure" 0.823108808271943
-920 0.0236218354149925 5 56 "GO:0001990;GO:0003044;GO:0050886;GO:0003081" "regulation of systemic arterial blood pressure mediated by a chemical signal" 0.126846291094566
