	SRR14729874.clean.fastq.gz.sam.counts	SRR14729875.clean.fastq.gz.sam.counts	SRR14729876.clean.fastq.gz.sam.counts	SRR14729877.clean.fastq.gz.sam.counts	SRR14729879.clean.fastq.gz.sam.counts	SRR14729880.clean.fastq.gz.sam.counts	SRR14729882.clean.fastq.gz.sam.counts	SRR14729883.clean.fastq.gz.sam.counts	SRR14729884.clean.fastq.gz.sam.counts	SRR14729885.clean.fastq.gz.sam.counts	SRR14729886.clean.fastq.gz.sam.counts	SRR14729887.clean.fastq.gz.sam.counts	SRR14729888.clean.fastq.gz.sam.counts	SRR14729891.clean.fastq.gz.sam.counts	SRR14729892.clean.fastq.gz.sam.counts	
Porites_compressa_HIv1___RNAseq.22107_t	18	0	2	20	0	26	38	3	1	1	13	4	4	1389	17	
Porites_compressa_HIv1___RNAseq.22154_t	3	0	7	6	0	16	4	4	2	3	36	18	0	5	1	
Porites_compressa_HIv1___RNAseq.22156_t	3	1	3	8	4	7	3	4	9	1	4	7	6	4	8	
Porites_compressa_HIv1___RNAseq.22289_t	8	0	8	39	4	50	3	9	12	2	1	9	1	52	0	
Porites_compressa_HIv1___RNAseq.22327_t	155	36	128	248	87	148	108	65	90	70	149	63	83	85	160	
Porites_compressa_HIv1___RNAseq.2240_t	403	120	209	351	208	692	334	146	221	117	225	211	201	261	316	
Porites_compressa_HIv1___RNAseq.22437_t	7	2	9	46	2	35	0	5	2	2	12	13	7	16	40	
Porites_compressa_HIv1___RNAseq.22528_ta	172	208	264	464	47	132	773	43	175	385	253	316	23	66	110	
Porites_compressa_HIv1___RNAseq.22528_tb	49	27	0	52	9	59	19	11	27	59	45	18	30	9	1	
Porites_compressa_HIv1___RNAseq.2256_t	30	36	155	35	66	117	81	20	105	8	44	29	51	145	76	
Porites_compressa_HIv1___RNAseq.22651_t	300	107	333	336	291	421	319	110	325	157	96	187	129	242	230	
Porites_compressa_HIv1___RNAseq.22700_t	329	92	165	97	379	131	417	191	31	253	356	50	177	180	55	
Porites_compressa_HIv1___RNAseq.22705_t	759	467	573	1043	324	918	1034	402	732	344	1612	358	612	894	321	
Porites_compressa_HIv1___RNAseq.22797_t	263	326	381	241	1586	127	830	169	428	215	481	321	39	655	710	
Porites_compressa_HIv1___RNAseq.22809_t	0	2	8	2	4	6	2	5	2	0	2	1	0	2	2	
Porites_compressa_HIv1___RNAseq.22839_t	1771	39	525	175	39	460	14	453	415	102	51	95	77	64	139	
Porites_compressa_HIv1___RNAseq.22844_t	71	4	32	49	18	32	39	8	35	25	37	19	20	14	19	
Porites_compressa_HIv1___RNAseq.22857_t	676	346	1190	830	497	747	846	579	1135	527	768	568	563	577	589	
Porites_compressa_HIv1___RNAseq.22861_t	3	16	0	0	6	0	17	6	22	16	32	21	7	2	59	
Porites_compressa_HIv1___RNAseq.23143_t	786	308	797	2165	976	2700	522	645	517	317	727	706	589	758	1543	
Porites_compressa_HIv1___RNAseq.23186_t	95	36	71	156	82	129	123	59	122	65	111	56	51	96	53	
Porites_compressa_HIv1___RNAseq.23198_t	45	6	14	24	10	38	13	6	11	17	24	12	14	3	21	
Porites_compressa_HIv1___RNAseq.23199_t	13	1	3	2	2	2	4	0	2	5	5	2	3	0	2	
Porites_compressa_HIv1___RNAseq.23221_t	11914	4745	12067	4807	17284	14274	14199	8119	14623	13186	11574	15345	12905	7140	6916	
